Results_ID,Analysis_ID,Sample_ID,NO3N,NO2N,Cl,Br,SO4,DOC,DIC,dN15,dO18,Flag,Notes
Res_IC_20120720__bridge_20120715,Anal_IC_20120720,Samp_bridge_20120715,4.13,0.04,26.11,,3.24,,,,,F,NO2 is below PQL
Res_IC_20120720__bridge_20120716,Anal_IC_20120720,Samp_bridge_20120716,1.74,0.05,16.15,,2.05,,,,,F,NO2 is below PQL
Res_IC_20120720__C01_20120716,Anal_IC_20120720,Samp_C01_20120716,11.52,0.06,37.32,,5.72,,,,,F,NO2 is below PQL
Res_IC_20120720__C02_20120716,Anal_IC_20120720,Samp_C02_20120716,10.2,0.05,36.81,,5.52,,,,,F,NO2 is below PQL
Res_IC_20120720__culvert_20120715,Anal_IC_20120720,Samp_culvert_20120715,7.17,0.05,28.38,,4.21,,,,,F,NO2 is below PQL
Res_IC_20120720__culvert2_20120715,Anal_IC_20120720,Samp_culvert2_20120715,3.8,0.09,26.33,,3.53,,,,,F,NO2 is below PQL
Res_IC_20120720__stream1_20120715,Anal_IC_20120720,Samp_stream1_20120715,3.65,0.04,25.86,,3.18,,,,,F,NO2 is below PQL
Res_IC_20120720__stream2_20120715,Anal_IC_20120720,Samp_stream2_20120715,4.76,0.04,26.66,,3.71,,,,,F,NO2 is below PQL
Res_IC_20120803__50_20120802,Anal_IC_20120803,Samp_50_20120802,6.05,0.02,11.77,,3.39508512,,,,,F,NO2 is below Lc
Res_IC_20120803__60_20120802,Anal_IC_20120803,Samp_60_20120802,10.91,0.04,26.68,,5,,,,,F,NO2 is below PQL
Res_IC_20120803__61_20120802,Anal_IC_20120803,Samp_61_20120802,10.95,0,25.79,,4.75713504,,,,,F,NO2 is below Lc
Res_IC_20120803__63_20120802,Anal_IC_20120803,Samp_63_20120802,15.48,0,36.45,,6.8478984,,,,,F,NO2 is below Lc
Res_IC_20120803__bridge_20120802,Anal_IC_20120803,Samp_bridge_20120802,3.3,0.06,25.37,,3.13,,,,,F,NO2 is below PQL
Res_IC_20120803__C01_20120802,Anal_IC_20120803,Samp_C01_20120802,9.43,0.1,33.65,,6.22,,,,,,
Res_IC_20120803__C02_20120802,Anal_IC_20120803,Samp_C02_20120802,12.12,0.08,35.33,,6.22735056,,,,,F,NO2 is below PQL
Res_IC_20120803__culvert_20120802,Anal_IC_20120803,Samp_culvert_20120802,4.68,0.1,26.98,,3.43835136,,,,,,
Res_IC_20120803__culvert2_20120802,Anal_IC_20120803,Samp_culvert2_20120802,4.81,0.09,28.05,,3.65229216,,,,,F,NO2 is below PQL
Res_IC_20120803__stream1_20120802,Anal_IC_20120803,Samp_stream1_20120802,3.8,0.03,26.01,,2.94927552,,,,,F,NO2 is below Lc
Res_IC_20120803__stream2_20120802,Anal_IC_20120803,Samp_stream2_20120802,3.87,0.09,27.16,,3.30448896,,,,,F,NO2 is below PQL
Res_IC_20120815__50_20120814,Anal_IC_20120815,Samp_50_20120814,6.63928902,0.02890027,14.64665784,,3.80283288,,,,,F,NO2 is below Lc
Res_IC_20120815__60_20120814,Anal_IC_20120815,Samp_60_20120814,8.96097825,0.063788165,26.99326776,,5.39553021,,,,,F,NO2 is below Lc
Res_IC_20120815__61_20120814,Anal_IC_20120815,Samp_61_20120814,9.06897222,0,27.13676784,,5.43734766,,,,,F,NO2 is below Lc
Res_IC_20120815__63_20120814,Anal_IC_20120815,Samp_63_20120814,11.97865116,0,34.65028884,,7.51609548,,,,,F,NO2 is below Lc
Res_IC_20120815__99_20120814,Anal_IC_20120815,Samp_99_20120814,0.2151765,0.00303373,1.00045392,,2.84682408,,,,,F,"NO3 is below PQL, NO2 is below Lc"
Res_IC_20120815__bridge_20120814,Anal_IC_20120815,Samp_bridge_20120814,2.2236354,0.06738074,24.45913728,,3.67609506,,,,,F,NO2 is below PQL
Res_IC_20120815__C01_20120814,Anal_IC_20120815,Samp_C01_20120814,5.67886284,0.07041447,30.52349424,,6.0613878,,,,,F,NO2 is below Lc
Res_IC_20120815__C02_20120814,Anal_IC_20120815,Samp_C02_20120814,9.579339,0.04822034,31.73437344,,6.88193028,,,,,F,NO2 is below Lc
Res_IC_20120815__culvert_20120814,Anal_IC_20120815,Samp_culvert_20120814,3.83048946,0.06833876,26.4603564,,4.06592574,,,,,F,NO2 is below Lc
Res_IC_20120815__culvert2_20120814,Anal_IC_20120815,Samp_culvert2_20120814,2.65332186,0.05939724,27.42812592,,4.35612456,,,,,F,NO2 is below Lc
Res_IC_20120815__stream1_20120814,Anal_IC_20120815,Samp_stream1_20120814,3.7269729,0.06785975,25.48854024,,3.81295794,,,,,F,NO2 is below Lc
Res_IC_20120815__stream2_20120814,Anal_IC_20120815,Samp_stream2_20120814,2.82746268,0.05492648,26.09802648,,3.62715198,,,,,F,NO2 is below Lc
